/home/sunye_2/zhangchuhan/sam3_env/lib/python3.10/site-packages/mmcv/__init__.py:20: UserWarning: On January 1, 2023, MMCV will release v2.0.0, in which it will remove components related to the training process and add a data transformation module. In addition, it will rename the package names mmcv to mmcv-lite and mmcv-full to mmcv. See https://github.com/open-mmlab/mmcv/blob/master/docs/en/compatibility.md for more details.
  warnings.warn(
Using config: /home/sunye_2/zhangchuhan/git_repo/SAM-Adapter_Shadow_and_Camouflages/configs/camouflage_cod10k_vith_eval.yaml
Using checkpoint: /home/sunye_2/zhangchuhan/best_results/best_results/cod/model_epoch_best.pth
Using GPU: 0

eval:   0%|          | 0/4000 [00:00<?, ?it/s]
eval sm 0.9422 | em 0.9632 | wfm 0.9555 | mae 0.0277:   0%|          | 0/4000 [00:01<?, ?it/s]
eval sm 0.9422 | em 0.9632 | wfm 0.9555 | mae 0.0277:   0%|          | 1/4000 [00:01<1:26:24,  1.30s/it]
eval sm 0.9345 | em 0.9369 | wfm 0.9252 | mae 0.0463:   0%|          | 1/4000 [00:01<1:26:24,  1.30s/it]
eval sm 0.9345 | em 0.9369 | wfm 0.9252 | mae 0.0463:   0%|          | 2/4000 [00:01<52:57,  1.26it/s]  
eval sm 0.9407 | em 0.9468 | wfm 0.9120 | mae 0.0395:   0%|          | 2/4000 [00:02<52:57,  1.26it/s]
eval sm 0.9407 | em 0.9468 | wfm 0.9120 | mae 0.0395:   0%|          | 3/4000 [00:02<41:35,  1.60it/s]
eval sm 0.8953 | em 0.8985 | wfm 0.7746 | mae 0.0411:   0%|          | 3/4000 [00:02<41:35,  1.60it/s]
eval sm 0.8953 | em 0.8985 | wfm 0.7746 | mae 0.0411:   0%|          | 4/4000 [00:02<36:16,  1.84it/s]
eval sm 0.8536 | em 0.8931 | wfm 0.6808 | mae 0.0501:   0%|          | 4/4000 [00:02<36:16,  1.84it/s]
eval sm 0.8536 | em 0.8931 | wfm 0.6808 | mae 0.0501:   0%|          | 5/4000 [00:03<33:35,  1.98it/s]
eval sm 0.8169 | em 0.8733 | wfm 0.6935 | mae 0.0548:   0%|          | 5/4000 [00:03<33:35,  1.98it/s]
eval sm 0.8169 | em 0.8733 | wfm 0.6935 | mae 0.0548:   0%|          | 6/4000 [00:03<32:07,  2.07it/s]
eval sm 0.8199 | em 0.8706 | wfm 0.7111 | mae 0.0612:   0%|          | 6/4000 [00:03<32:07,  2.07it/s]
eval sm 0.8199 | em 0.8706 | wfm 0.7111 | mae 0.0612:   0%|          | 7/4000 [00:03<31:10,  2.13it/s]
eval sm 0.7970 | em 0.8435 | wfm 0.7146 | mae 0.0758:   0%|          | 7/4000 [00:04<31:10,  2.13it/s]
eval sm 0.7970 | em 0.8435 | wfm 0.7146 | mae 0.0758:   0%|          | 8/4000 [00:04<30:33,  2.18it/s]
eval sm 0.7726 | em 0.8136 | wfm 0.7160 | mae 0.0950:   0%|          | 8/4000 [00:04<30:33,  2.18it/s]
eval sm 0.7726 | em 0.8136 | wfm 0.7160 | mae 0.0950:   0%|          | 9/4000 [00:04<30:06,  2.21it/s]
eval sm 0.7909 | em 0.8289 | wfm 0.7401 | mae 0.0879:   0%|          | 9/4000 [00:05<30:06,  2.21it/s]
eval sm 0.7909 | em 0.8289 | wfm 0.7401 | mae 0.0879:   0%|          | 10/4000 [00:05<29:33,  2.25it/s]
eval sm 0.8019 | em 0.8370 | wfm 0.7523 | mae 0.0859:   0%|          | 10/4000 [00:05<29:33,  2.25it/s]
eval sm 0.8019 | em 0.8370 | wfm 0.7523 | mae 0.0859:   0%|          | 11/4000 [00:05<29:26,  2.26it/s]
